command,man_page_url
abicompat,https://man7.org/linux/man-pages/man1/abicompat.1.html
abidiff,https://man7.org/linux/man-pages/man1/abidiff.1.html
abidw,https://man7.org/linux/man-pages/man1/abidw.1.html
abilint,https://man7.org/linux/man-pages/man1/abilint.1.html
abipkgdiff,https://man7.org/linux/man-pages/man1/abipkgdiff.1.html
ac,https://man7.org/linux/man-pages/man1/ac.1.html
addftinfo,https://man7.org/linux/man-pages/man1/addftinfo.1.html
addr2line,https://man7.org/linux/man-pages/man1/addr2line.1.html
admin,https://man7.org/linux/man-pages/man1/admin.1p.html
afmtodit,https://man7.org/linux/man-pages/man1/afmtodit.1.html
alias,https://man7.org/linux/man-pages/man1/alias.1p.html
apropos,https://man7.org/linux/man-pages/man1/apropos.1.html
ar,https://man7.org/linux/man-pages/man1/ar.1.html
ar,https://man7.org/linux/man-pages/man1/ar.1p.html
arch,https://man7.org/linux/man-pages/man1/arch.1.html
aria_chk,https://man7.org/linux/man-pages/man1/aria_chk.1.html
aria_dump_log,https://man7.org/linux/man-pages/man1/aria_dump_log.1.html
aria_ftdump,https://man7.org/linux/man-pages/man1/aria_ftdump.1.html
aria_pack,https://man7.org/linux/man-pages/man1/aria_pack.1.html
aria_read_log,https://man7.org/linux/man-pages/man1/aria_read_log.1.html
AS,https://man7.org/linux/man-pages/man1/AS.1.html
as,https://man7.org/linux/man-pages/man1/as.1.html
asa,https://man7.org/linux/man-pages/man1/asa.1p.html
ascii-xfr,https://man7.org/linux/man-pages/man1/ascii-xfr.1.html
at,https://man7.org/linux/man-pages/man1/at.1p.html
attr,https://man7.org/linux/man-pages/man1/attr.1.html
audit2allow,https://man7.org/linux/man-pages/man1/audit2allow.1.html
audit2why,https://man7.org/linux/man-pages/man1/audit2why.1.html
autofsd-probe,https://man7.org/linux/man-pages/man1/autofsd-probe.1.html
autopoint,https://man7.org/linux/man-pages/man1/autopoint.1.html
awk,https://man7.org/linux/man-pages/man1/awk.1p.html
b2sum,https://man7.org/linux/man-pages/man1/b2sum.1.html
babeltrace2-convert,https://man7.org/linux/man-pages/man1/babeltrace2-convert.1.html
babeltrace2-help,https://man7.org/linux/man-pages/man1/babeltrace2-help.1.html
babeltrace2-list-plugins,https://man7.org/linux/man-pages/man1/babeltrace2-list-plugins.1.html
babeltrace2-log,https://man7.org/linux/man-pages/man1/babeltrace2-log.1.html
babeltrace2-query,https://man7.org/linux/man-pages/man1/babeltrace2-query.1.html
babeltrace2-run,https://man7.org/linux/man-pages/man1/babeltrace2-run.1.html
babeltrace2,https://man7.org/linux/man-pages/man1/babeltrace2.1.html
base32,https://man7.org/linux/man-pages/man1/base32.1.html
